TASKKEY,PAGE_URL,LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35,LABEL-36,LABEL-37,LABEL-38,LABEL-39
OVbuZpAF,https://www.teamblind.com/company/Google/reviews?page=2,,,,Rating Score5.0,5,3,3Career Growth,4,4Work - Life Balance,5,5Compensation / Benefits,4,4Company Culture,3,3Management,View detailed rating,“Good benefits and peers”,Verified User,"Verified User
                    Current Employee · a***** · Software Engineer - May 17, 2023",Pros,Lots of room to growGood benefitsGood wlb (for most teams),Cons,Upper management can suckLayoffs uncertaintyPolitics at higher levels,MORE,Helpful (0),Share on Facebook,Share on Twitter,Share URL,REPORT,More Menu,,,,,,,,,
OVbuZpAF,https://www.teamblind.com/company/Google/reviews?page=2,,,,Rating Score3.0,3,3,3Career Growth,3,3Work - Life Balance,3,3Compensation / Benefits,3,3Company Culture,3,3Management,View detailed rating,“Great work life balance”,Verified User,"Verified User
                    Current Employee · w**** · Hardware Engineer - May 17, 2023",Pros,"Good comp, talented coworkers - layoffs were tough but things are looking up",Cons,"Classic big company pitfalls, passive leadership and politics in some orga",MORE,Helpful (0),Share on Facebook,Share on Twitter,Share URL,REPORT,More Menu,,,,,,,,,
OVbuZpAF,https://www.teamblind.com/company/Google/reviews?page=2,,,,Rating Score5.0,5,4,4Career Growth,5,5Work - Life Balance,5,5Compensation / Benefits,4,4Company Culture,5,5Management,View detailed rating,“Great place to work”,Verified User,"Verified User
                    Current Employee · b******* · Security Analyst - May 17, 2023",Pros,"Work life balance , great mtg , growth opportunities, office perks are great",Cons,"Growth opportunity can vary for tvcs.  Also , the limitation of usage of third party software . At times, some methodologies for products can feel stone Age.",MORE,Helpful (1),Share on Facebook,Share on Twitter,Share URL,REPORT,More Menu,,,,,,,,,
OVbuZpAF,https://www.teamblind.com/company/Google/reviews?page=2,,,,Rating Score4.0,4,3,3Career Growth,5,5Work - Life Balance,4,4Compensation / Benefits,5,5Company Culture,3,3Management,View detailed rating,"“Good work life balance, good culture but relatively slower career growth.”",Verified User,"Verified User
                    Current Employee · k***** · Software Engineer III - May 17, 2023",Pros,1. Benefits 2. Compensation 3. Work life balance 4. Project diversity,Cons,1. Managers 2. Career growth is relatively slower in comparison to other companies,MORE,Helpful (0),Share on Facebook,Share on Twitter,Share URL,REPORT,More Menu,,,,,,,,,
OVbuZpAF,https://www.teamblind.com/company/Google/reviews?page=2,,,,Rating Score5.0,5,3,3Career Growth,5,5Work - Life Balance,5,5Compensation / Benefits,5,5Company Culture,5,5Management,View detailed rating,“Great work life balance”,Verified User,"Verified User
                    Current Employee · y***** · Software Engineer - May 17, 2023",Pros,"Great pay and benefits, interesting challenges building a new product",Cons,"Too much change, all the time. Layoffs soured the vibes.",MORE,Helpful (1),Share on Facebook,Share on Twitter,Share URL,REPORT,More Menu,,,,,,,,,
OVbuZpAF,https://www.teamblind.com/company/Google/reviews?page=2,,,,Rating Score3.0,3,1,1Career Growth,5,5Work - Life Balance,3,3Compensation / Benefits,5,5Company Culture,1,1Management,View detailed rating,“Great experience if you get on right team ”,Verified User,"Verified User
                    Current Employee · a******* · Software Engineer - May 17, 2023",Pros,"Good WLB, friendly people, exposure to cool technology, good perks",Cons,"Slow promo, boys club, no freedom to experiment, and again a BOYS CLUB",MORE,Helpful (0),Share on Facebook,Share on Twitter,Share URL,REPORT,More Menu,,,,,,,,,
OVbuZpAF,https://www.teamblind.com/company/Google/reviews?page=2,,,,Rating Score5.0,5,4,4Career Growth,5,5Work - Life Balance,5,5Compensation / Benefits,5,5Company Culture,5,5Management,View detailed rating,“Good perks and stocks”,Verified User,"Verified User
                    Current Employee · L***** · Hardware Design Engineer - May 17, 2023",Pros,Good WLB and good managers to promote you even  higher.,Cons,Some dirty politics at a higher level and back bitching.,MORE,Helpful (0),Share on Facebook,Share on Twitter,Share URL,REPORT,More Menu,,,,,,,,,
OVbuZpAF,https://www.teamblind.com/company/Google/reviews?page=2,,,,Rating Score4.0,4,4,4Career Growth,4,4Work - Life Balance,4,4Compensation / Benefits,4,4Company Culture,4,4Management,View detailed rating,"“Pleasant teammates, uninteresting work”",Verified User,"Verified User
                    Current Employee · T***** · Data Engineer - May 16, 2023",Pros,People are nice and pleasant to worth with. Definitely have emphasis on mental health and well-being,Cons,"Work isn’t the most interesting, a lot of context switching which can make productivity difficult from time to time",MORE,Helpful (1),Share on Facebook,Share on Twitter,Share URL,REPORT,More Menu,,,,,,,,,
OVbuZpAF,https://www.teamblind.com/company/Google/reviews?page=2,,,,Rating Score4.0,4,3,3Career Growth,4,4Work - Life Balance,4,4Compensation / Benefits,4,4Company Culture,3,3Management,View detailed rating,“Best job I had so far”,Verified User,"Verified User
                    Current Employee · 2***** · Software Engineer - May 15, 2023",Pros,* Great culture* Good compensation* Smart colleagues* Strong culture of engineering excellence,Cons,* Heavy processes (one gets more experienced with time)* Huge company,MORE,Helpful (0),Share on Facebook,Share on Twitter,Share URL,REPORT,More Menu,,,,,,,,,
OVbuZpAF,https://www.teamblind.com/company/Google/reviews?page=2,,,,Rating Score4.0,4,4,4Career Growth,5,5Work - Life Balance,4,4Compensation / Benefits,5,5Company Culture,4,4Management,View detailed rating,“Can't really go wrong with big G most of time.”,Verified User,"Verified User
                    Current Employee · m******** · Software Engineer III - May 14, 2023",Pros,Good wlbThere are opportunities to work on many interesting products.,Cons,Slow promo timelines.Tech isn't a as interesting. Internal tools are not as well built out.,MORE,Helpful (1),Share on Facebook,Share on Twitter,Share URL,REPORT,More Menu,,,,,,,,,
